COUNTRY	CAPITAL	RATING
Algeria	Algiers	1
Angola	Luanda	1
Benin	Porto-Novo	1
Botswana	Gaborone	1
Burkina Faso	Ouagadougou	1
Burundi	Bujumbura	1
Cameroon	Yaoundé	1
Cape Verde	Praia	1
Central African Republic	Bangui	1
Chad	N'Djamena	1
Comoros	Moroni	1
Democratic Republic of the Congo	Kinshasa	1
Djibouti	Djibouti	1
Egypt	Cairo	1
Equatorial Guinea	Malabo	1
Eritrea	Asmara	1
Eswatini	Mbabane	1
Ethiopia	Addis Ababa	1
Gabon	Libreville	1
Gambia	Banjul	1
Ghana	Accra	1
Guinea	Conakry	1
Guinea-Bissau	Bissau	1
Ivory Coast	Yamoussoukro	1
Kenya	Nairobi	1
Lesotho	Maseru	1
Liberia	Monrovia	1
Libya	Tripoli	1
Madagascar	Antananarivo	1
Malawi	Lilongwe	1
Mali	Bamako	1
Mauritania	Nouakchott	1
Mauritius	Port Louis	1
Mayotte	Mamoudzou	1
Morocco	Rabat	1
Mozambique	Maputo	1
Namibia	Windhoek	1
Niger	Niamey	1
Nigeria	Abuja	1
Republic of the Congo	Brazzaville	1
Reunion	Saint-Denis	1
Rwanda	Kigali	1
Saint Helena	Jamestown	1
Sao Tome and Principe	São Tomé	1
Senegal	Dakar	1
Seychelles	Victoria	1
Sierra Leone	Freetown	1
Somalia	Mogadishu	1
South Africa	Pretoria	1
South Sudan	Juba	1
Sudan	Khartoum	1
Tanzania	Dodoma	1
Togo	Lomé	1
Tunisia	Tunis	1
Uganda	Kampala	1
Western Sahara	El Aaiún	1
Zambia	Lusaka	1
Zimbabwe	Harare	1
