['Tue Sep 21 07:54:24 2021', '001', 'flashcard-begin-session', '', '', '', '']
['Tue Sep 21 07:54:26 2021', '001', 'flashcard', 'capitals of africa', 'Algeria', 'Algiers', 3]
['Tue Sep 21 07:54:28 2021', '001', 'flashcard', 'capitals of africa', 'Algeria', 'Algiers', 2]
['Tue Sep 21 07:54:30 2021', '001', 'flashcard', 'capitals of africa', 'Angola', 'Luanda', 4]
['Tue Sep 21 07:54:32 2021', '001', 'flashcard', 'capitals of africa', 'Benin', 'Porto-Novo', 1]
['Tue Sep 21 07:54:46 2021', '001', 'flashcard-begin-session', '', '', '', '']
['Tue Sep 21 07:54:48 2021', '001', 'flashcard', 'capitals of africa', 'Algeria', 'Algiers', 3]
['Tue Sep 21 07:54:50 2021', '001', 'flashcard', 'capitals of africa', 'Algeria', 'Algiers', 5]
['Tue Sep 21 07:54:51 2021', '001', 'flashcard-end-session', '', '', '', '']
['Tue Sep 21 07:57:58 2021', '001', 'flashcard-begin-session', '', '', '', '']
['Tue Sep 21 07:58:00 2021', '001', 'flashcard', 'capitals oceania', 'American Samoa', 'Pago Pago', 3]
['Tue Sep 21 07:58:01 2021', '001', 'flashcard', 'capitals oceania', 'American Samoa', 'Pago Pago', 2]
['Tue Sep 21 07:58:03 2021', '001', 'flashcard', 'capitals oceania', 'Cook Islands', 'Avarua', 5]
['Tue Sep 21 07:58:05 2021', '001', 'flashcard', 'capitals oceania', 'Fiji', 'Suva', 1]
['Tue Sep 21 07:58:07 2021', '001', 'flashcard-end-session', '', '', '', '']
['Tue Sep 21 07:58:08 2021', '001', 'flashcard-begin-session', '', '', '', '']
['Tue Sep 21 07:58:11 2021', '001', 'flashcard', 'world capitals', 'Flag of Akrotiri.gif', 'Flag of Akrotiri', 3]
['Tue Sep 21 07:58:13 2021', '001', 'flashcard', 'world capitals', 'Flag of Akrotiri.gif', 'Flag of Akrotiri', 1]
['Tue Sep 21 07:58:15 2021', '001', 'flashcard', 'world capitals', 'Flag of Albania.gif', 'Flag of Albania', 4]
['Tue Sep 21 10:00:45 2021', '001', 'flashcard-begin-session', '', '', '', '']
['Tue Sep 21 10:00:47 2021', '001', 'flashcard', 'world capitals', 'Flag of Akrotiri.gif', 'Flag of Akrotiri', 3]
